b065ea0d-f6b4-46bd-a79c-e84469d8dab6	Lizzie’s first task	2019-12-31	0	2019-09-28	\N	lizzieb
ca0dd457-f028-496a-86d5-353c3bd5ffee	Ann’s first task	2019-12-15	0	2019-07-16	\N	annb17
d8dad374-4ecb-4a0f-a37d-ece590da918a	Izzy’s no 1 task	2019-07-06	1	2019-07-04	2019-07-05	user123
0928265d-9428-4fc7-a950-f14e68512e40	Carol’s shopping job	2019-11-23	0	2019-11-12	\N	iamauser
248b8a62-45b7-41d4-9ac1-4d400e2de163	Homework Lizzie	2019-11-16	0	2019-10-16	\N	lizzieb
81fcaf1a-a3b5-42eb-bd1d-b6620b62ae72	Learn databases 	2019-11-30	0	2019-10-31	\N	annb17
a66d9f48-523e-4fbe-b069-6c2303e5bb19	Take guinea pig to vet	2019-10-05	1	2019-09-29	2019-10-05	user123
dcc433e4-4255-47db-829d-06d656bf13e2	Shopping	2019-11-12	1	2019-11-11	2019-11-12	iamauser
293ef564-b6bd-480c-a7e3-c9c7231582df	Clean windows	2019-9-30	0	2019-9-23	\N	annb17
9412653e-7432-411e-919d-a8faef5db614	Pack for holiday	2019-7-31	1	2019-5-31	2019-7-26	iamauser
